0,1,2,3,4,5,6,7,8,9,10
liquor,other vegetables,whole milk,other vegetables,,,,,,,
frankfurter,bottled water,,,,,,,,,
whole milk,curd,,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
newspapers,rolls/buns,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
meat,rolls/buns,,,,,,,,,
sausage,frozen fruits,,,,,,,,,
yogurt,chewing gum,shopping bags,,,,,,,,
other vegetables,citrus fruit,rolls/buns,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
frozen vegetables,tropical fruit,,,,,,,,,
yogurt,other vegetables,soft cheese,,,,,,,,
onions,cat food,,,,,,,,,
yogurt,canned beer,,,,,,,,,
beef,pasta,,,,,,,,,
dessert,tropical fruit,,,,,,,,,
pastry,chocolate,flour,,,,,,,,
butter,chewing gum,,,,,,,,,
curd,brown bread,,,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
canned fruit,detergent,,,,,,,,,
whole milk,bottled beer,frozen vegetables,,,,,,,,
specialty bar,canned beer,white bread,newspapers,,,,,,,
tropical fruit,white wine,,,,,,,,,
canned beer,frankfurter,brown bread,pip fruit,frozen vegetables,pudding powder,,,,,
other vegetables,bottled beer,,,,,,,,,
bottled water,frozen fish,,,,,,,,,
yogurt,domestic eggs,yogurt,,,,,,,,
domestic eggs,specialty fat,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
whole milk,pip fruit,detergent,,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
soda,pastry,bottled water,,,,,,,,
newspapers,specialty vegetables,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
oil,soda,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
sausage,bottled beer,,,,,,,,,
soda,yogurt,,,,,,,,,
other vegetables,coffee,rolls/buns,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
yogurt,whole milk,abrasive cleaner,,,,,,,,
other vegetables,shopping bags,packaged fruit/vegetables,,,,,,,,
bottled beer,soda,newspapers,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
frankfurter,pork,,,,,,,,,
meat,ham,male cosmetics,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
sausage,dessert,,,,,,,,,
grapes,whole milk,,,,,,,,,
curd,domestic eggs,,,,,,,,,
citrus fruit,onions,,,,,,,,,
butter milk,margarine,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
yogurt,canned beer,,,,,,,,,
white wine,specialty bar,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
whole milk,berries,,,,,,,,,
sausage,canned fish,,,,,,,,,
frozen meals,beef,,,,,,,,,
herbs,white bread,,,,,,,,,
other vegetables,dessert,,,,,,,,,
citrus fruit,beef,,,,,,,,,
soda,other vegetables,,,,,,,,,
citrus fruit,frankfurter,coffee,UHT-milk,candy,fruit/vegetable juice,,,,,
beef,brown bread,,,,,,,,,
tropical fruit,citrus fruit,bottled water,rolls/buns,soda,pickled vegetables,,,,,
cereals,soda,,,,,,,,,
pip fruit,hygiene articles,domestic eggs,hard cheese,,,,,,,
curd,yogurt,detergent,,,,,,,,
hamburger meat,sausage,grapes,soda,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
pip fruit,whole milk,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
whole milk,soda,,,,,,,,,
whipped/sour cream,whole milk,oil,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
shopping bags,canned beer,,,,,,,,,
frankfurter,sausage,,,,,,,,,
beef,chocolate,,,,,,,,,
butter,root vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
berries,other vegetables,,,,,,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
whole milk,brown bread,,,,,,,,,
soda,beverages,,,,,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
rolls/buns,long life bakery product,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
chewing gum,cake bar,,,,,,,,,
beef,instant coffee,,,,,,,,,
canned beer,whole milk,,,,,,,,,
soda,whole milk,shopping bags,,,,,,,,
bottled water,whole milk,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
butter,dog food,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
sliced cheese,brown bread,roll products ,,,,,,,,
pork,root vegetables,,,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
sausage,finished products,whole milk,yogurt,pastry,sliced cheese,onions,chewing gum,,,
candy,domestic eggs,,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
other vegetables,shopping bags,,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
hamburger meat,candy,,,,,,,,,
whipped/sour cream,misc. beverages,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
berries,other vegetables,,,,,,,,,
margarine,rolls/buns,seasonal products,,,,,,,,
salt,canned beer,roll products ,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
grapes,coffee,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
pastry,sauces,,,,,,,,,
whole milk,pastry,,,,,,,,,
sausage,hygiene articles,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,seasonal products,specialty fat,flour,,,,,,,
white wine,processed cheese,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
chocolate,pastry,,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
frankfurter,yogurt,,,,,,,,,
pork,rolls/buns,roll products ,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
chicken,coffee,,,,,,,,,
pork,soda,,,,,,,,,
canned beer,pip fruit,rolls/buns,brown bread,soft cheese,shopping bags,,,,,
female sanitary products,salt,,,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
pip fruit,whole milk,,,,,,,,,
oil,canned beer,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
napkins,spices,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
ham,brown bread,,,,,,,,,
citrus fruit,other vegetables,pip fruit,pork,soda,yogurt,herbs,red/blush wine,,,
onions,other vegetables,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
dog food,brown bread,salty snack,,,,,,,,
rolls/buns,pastry,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
berries,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
yogurt,red/blush wine,,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
sausage,white wine,,,,,,,,,
beef,meat spreads,,,,,,,,,
newspapers,cream,,,,,,,,,
sausage,pip fruit,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
herbs,tropical fruit,whole milk,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
ham,bottled water,,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
rolls/buns,soda,,,,,,,,,
bottled water,hamburger meat,pastry,,,,,,,,
pork,soda,canned vegetables,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
turkey,white bread,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
chocolate,beef,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
cream,newspapers,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
sausage,other vegetables,,,,,,,,,
whipped/sour cream,pickled vegetables,dish cleaner,,,,,,,,
pork,brown bread,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
whipped/sour cream,photo/film,,,,,,,,,
frankfurter,curd,specialty cheese,,,,,,,,
pip fruit,chocolate,,,,,,,,,
pip fruit,soda,detergent,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
soda,berries,root vegetables,bottled beer,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
beef,ham,,,,,,,,,
white wine,beverages,,,,,,,,,
butter,rolls/buns,,,,,,,,,
pork,cereals,,,,,,,,,
pet care,soda,,,,,,,,,
chicken,yogurt,UHT-milk,root vegetables,yogurt,hard cheese,semi-finished bread,frozen potato products,,,
ham,pastry,,,,,,,,,
butter,newspapers,,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
rolls/buns,pork,pastry,other vegetables,soda,pot plants,newspapers,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
newspapers,bottled water,hard cheese,,,,,,,,
citrus fruit,pot plants,newspapers,,,,,,,,
other vegetables,napkins,,,,,,,,,
beef,bottled water,bottled water,,,,,,,,
shopping bags,bottled beer,,,,,,,,,
rolls/buns,whole milk,semi-finished bread,processed cheese,,,,,,,
dessert,herbs,waffles,,,,,,,,
whole milk,brown bread,soda,,,,,,,,
waffles,whole milk,other vegetables,white bread,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
hamburger meat,soft cheese,yogurt,margarine,,,,,,,
canned beer,grapes,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
brown bread,canned beer,,,,,,,,,
napkins,pastry,,,,,,,,,
ice cream,whole milk,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
sugar,red/blush wine,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
chicken,cling film/bags,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
fish,meat,,,,,,,,,
bottled water,soda,,,,,,,,,
finished products,bottled beer,,,,,,,,,
pork,bottled beer,beef,other vegetables,chocolate,snack products,other vegetables,frozen vegetables,,,
pork,hamburger meat,,,,,,,,,
whole milk,waffles,shopping bags,,,,,,,,
frankfurter,citrus fruit,specialty chocolate,,,,,,,,
ham,processed cheese,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,domestic eggs,rolls/buns,long life bakery product,,,,,,,
pip fruit,beverages,,,,,,,,,
whole milk,white wine,,,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
cream cheese ,canned beer,chewing gum,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
grapes,whole milk,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
house keeping products,domestic eggs,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
pork,white wine,,,,,,,,,
pastry,cream cheese ,,,,,,,,,
brandy,whole milk,,,,,,,,,
napkins,brown bread,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
hygiene articles,yogurt,,,,,,,,,
waffles,margarine,,,,,,,,,
turkey,specialty bar,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,pork,,,,,,,,,
rolls/buns,baking powder,onions,bottled water,,,,,,,
pastry,margarine,,,,,,,,,
berries,newspapers,frozen fish,,,,,,,,
yogurt,yogurt,,,,,,,,,
meat,butter milk,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
citrus fruit,tropical fruit,UHT-milk,cat food,chocolate,root vegetables,rolls/buns,sweet spreads,,,
brown bread,dessert,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
cream cheese ,sugar,,,,,,,,,
pickled vegetables,hygiene articles,,,,,,,,,
canned beer,soda,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
frankfurter,beverages,,,,,,,,,
tropical fruit,onions,whipped/sour cream,,,,,,,,
abrasive cleaner,yogurt,frozen meals,,,,,,,,
napkins,mustard,,,,,,,,,
pip fruit,ice cream,popcorn,soda,bottled water,rolls/buns,,,,,
bottled beer,hard cheese,,,,,,,,,
soda,rolls/buns,,,,,,,,,
butter,frankfurter,root vegetables,butter milk,vinegar,,,,,,
packaged fruit/vegetables,onions,,,,,,,,,
tropical fruit,whipped/sour cream,canned vegetables,,,,,,,,
canned beer,curd,pastry,,,,,,,,
pork,pastry,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
newspapers,coffee,soft cheese,,,,,,,,
sausage,canned vegetables,margarine,,,,,,,,
whole milk,soda,,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
beef,ice cream,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
chicken,yogurt,,,,,,,,,
rolls/buns,oil,chocolate,,,,,,,,
other vegetables,sausage,onions,whole milk,chocolate,,,,,,
root vegetables,butter milk,,,,,,,,,
whole milk,soda,newspapers,,,,,,,,
pork,hard cheese,,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
canned beer,newspapers,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
fruit/vegetable juice,salt,,,,,,,,,
yogurt,whole milk,yogurt,chewing gum,,,,,,,
ham,chocolate marshmallow,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
frozen meals,sausage,canned beer,brown bread,frozen vegetables,chocolate,,,,,
bottled beer,dishes,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
tropical fruit,other vegetables,hygiene articles,brandy,,,,,,,
seasonal products,herbs,spread cheese,pickled vegetables,,,,,,,
pork,other vegetables,,,,,,,,,
liquor (appetizer),soda,,,,,,,,,
tropical fruit,other vegetables,soft cheese,,,,,,,,
brown bread,butter milk,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
chicken,shopping bags,,,,,,,,,
frankfurter,yogurt,waffles,,,,,,,,
other vegetables,cereals,,,,,,,,,
meat,butter,frozen dessert,,,,,,,,
other vegetables,soda,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
rolls/buns,soda,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
ham,pickled vegetables,shopping bags,,,,,,,,
frozen meals,sugar,,,,,,,,,
hygiene articles,rolls/buns,red/blush wine,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
chocolate marshmallow,ready soups,,,,,,,,,
pork,candles,,,,,,,,,
tropical fruit,spread cheese,onions,mayonnaise,,,,,,,
sausage,other vegetables,,,,,,,,,
yogurt,ham,,,,,,,,,
berries,shopping bags,,,,,,,,,
newspapers,bottled beer,domestic eggs,,,,,,,,
soda,frozen dessert,pickled vegetables,,,,,,,,
sausage,canned beer,whipped/sour cream,,,,,,,,
hygiene articles,tea,,,,,,,,,
whole milk,ice cream,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
pip fruit,spread cheese,,,,,,,,,
butter,baking powder,brown bread,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
fruit/vegetable juice,soft cheese,,,,,,,,,
canned beer,chocolate,,,,,,,,,
specialty bar,processed cheese,whole milk,whole milk,misc. beverages,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
meat,canned fish,brown bread,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
soda,pasta,curd cheese,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
brown bread,cat food,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
meat,canned beer,,,,,,,,,
pork,grapes,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
whole milk,whole milk,sausage,newspapers,soda,flour,bottled water,liquor,,,
ice cream,other vegetables,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
whole milk,onions,,,,,,,,,
newspapers,napkins,,,,,,,,,
napkins,sugar,,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
pork,other vegetables,,,,,,,,,
pork,brown bread,,,,,,,,,
cat food,whole milk,whole milk,,,,,,,,
chicken,waffles,,,,,,,,,
frankfurter,margarine,,,,,,,,,
canned fish,cream cheese ,,,,,,,,,
candy,coffee,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
ice cream,root vegetables,hygiene articles,,,,,,,,
rolls/buns,soda,snack products,long life bakery product,,,,,,,
soda,bottled water,seasonal products,,,,,,,,
salty snack,brown bread,,,,,,,,,
whole milk,newspapers,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,pickled vegetables,soda,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
bottled water,salty snack,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
specialty chocolate,whole milk,,,,,,,,,
meat,citrus fruit,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
rolls/buns,specialty bar,spread cheese,,,,,,,,
other vegetables,pip fruit,dessert,red/blush wine,,,,,,,
whole milk,liquor,,,,,,,,,
liquor (appetizer),cat food,,,,,,,,,
liquor (appetizer),long life bakery product,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
organic sausage,other vegetables,hard cheese,bottled water,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
other vegetables,sausage,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
chicken,candy,sugar,,,,,,,,
canned beer,yogurt,white bread,,,,,,,,
whole milk,bottled beer,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
fruit/vegetable juice,citrus fruit,pastry,tropical fruit,margarine,,,,,,
berries,waffles,,,,,,,,,
margarine,processed cheese,,,,,,,,,
root vegetables,rolls/buns,bottled beer,rolls/buns,,,,,,,
brown bread,processed cheese,,,,,,,,,
soda,brown bread,,,,,,,,,
sausage,house keeping products,,,,,,,,,
newspapers,yogurt,,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
hamburger meat,pasta,,,,,,,,,
whole milk,waffles,dog food,,,,,,,,
newspapers,napkins,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
soda,beef,other vegetables,semi-finished bread,shopping bags,white wine,,,,,
ham,waffles,seasonal products,,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
bottled beer,hamburger meat,,,,,,,,,
seasonal products,pickled vegetables,,,,,,,,,
seasonal products,shopping bags,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
root vegetables,coffee,,,,,,,,,
pork,rolls/buns,yogurt,brown bread,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
UHT-milk,roll products ,salt,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
rolls/buns,soda,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
sausage,yogurt,,,,,,,,,
root vegetables,onions,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
bottled beer,soda,candy,,,,,,,,
finished products,berries,,,,,,,,,
whole milk,chocolate,pickled vegetables,,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
soda,napkins,,,,,,,,,
beef,curd cheese,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
sliced cheese,beverages,other vegetables,napkins,,,,,,,
soda,newspapers,,,,,,,,,
pip fruit,other vegetables,coffee,,,,,,,,
pork,specialty chocolate,,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
dessert,curd,,,,,,,,,
canned beer,frozen dessert,,,,,,,,,
tea,beverages,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
nuts/prunes,butter,soda,bottled beer,,,,,,,
liver loaf,processed cheese,,,,,,,,,
pip fruit,soda,,,,,,,,,
flour,pastry,,,,,,,,,
citrus fruit,tropical fruit,butter,ham,,,,,,,
ham,soda,pickled vegetables,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
whole milk,curd cheese,root vegetables,pastry,,,,,,,
citrus fruit,soda,,,,,,,,,
frankfurter,ketchup,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
ham,canned beer,soups,,,,,,,,
whole milk,kitchen towels,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
yogurt,whole milk,waffles,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
yogurt,shopping bags,,,,,,,,,
spread cheese,salty snack,soda,domestic eggs,,,,,,,
yogurt,root vegetables,,,,,,,,,
margarine,whole milk,,,,,,,,,
meat,soda,cream cheese ,,,,,,,,
baking powder,beef,,,,,,,,,
sausage,pastry,coffee,,,,,,,,
onions,rum,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
candles,canned beer,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
yogurt,napkins,,,,,,,,,
sausage,candy,,,,,,,,,
rolls/buns,oil,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
hard cheese,rolls/buns,white wine,,,,,,,,
spread cheese,root vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
soda,candy,,,,,,,,,
bottled water,soft cheese,dishes,chocolate,,,,,,,
curd,frankfurter,white bread,pip fruit,waffles,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
newspapers,flour,frozen fish,cream cheese ,,,,,,,
